X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
-310.6438538,-114.4003607,-0.039999025,-304.6972932,-120.7356904,-311.5411068,-113.444448,8.688957644,10
-310.7179822,-114.4837265,-0.039997813,-304.8152953,-120.8452935,-311.6170321,-113.5147837,8.678205414,10
-310.7946165,-114.5691262,-0.039997761,-304.9344374,-120.9547342,-311.6958864,-113.5870476,8.667046177,10
-310.8724857,-114.6554831,-0.039998666,-305.0489766,-121.0589684,-311.77707,-113.6608092,8.655511682,10
-310.9467375,-114.7371504,-0.040000237,-305.1739295,-121.1712308,-311.8521511,-113.728022,8.644229409,10
-311.028424,-114.8263461,-0.040002096,-305.2849046,-121.2701811,-311.9386752,-113.8051067,8.631976908,10
-311.1002651,-114.9043857,-0.040001158,-305.4157441,-121.385156,-312.0098829,-113.8673548,8.62056619,10
-311.1856231,-114.9965172,-0.03999952,-305.5230513,-121.478906,-312.1018319,-113.9476614,8.607327336,10
-311.2551285,-115.0709331,-0.039998252,-305.6598453,-121.5964778,-312.1690729,-114.005038,8.59592499,10
-311.3442392,-115.1657798,-0.039997147,-305.7672907,-121.6883524,-312.2659107,-114.0878302,8.581742668,10
-311.412485,-115.2378531,-0.039998051,-305.9045313,-121.8037682,-312.3313781,-114.1424602,8.57022726,10
-311.5012307,-115.3310192,-0.039999149,-306.0146864,-121.8958412,-312.4274636,-114.2227526,8.555644704,10
-311.573184,-115.4061029,-0.040001021,-306.1483255,-122.0059048,-312.4982305,-114.2807052,8.543212161,10
-311.6595024,-115.4956524,-0.04000185,-306.2643053,-122.1006714,-312.5904235,-114.355981,8.528448164,10
-311.7351825,-115.5736533,-0.040000289,-306.3942413,-122.2054695,-312.6665715,-114.4171529,8.515083031,10
-311.8191771,-115.6595376,-0.039998899,-306.5161248,-122.3028235,-312.7547676,-114.4874965,8.50033009,10
-311.8986306,-115.7403247,-0.039997783,-306.6422523,-122.4024403,-312.8363815,-114.5517867,8.486064901,10
-311.980235,-115.8227265,-0.039997845,-306.7701051,-122.5022653,-312.9204889,-114.6172935,8.471227252,10
-312.0634443,-115.9062257,-0.039998848,-306.8923318,-122.5967961,-313.0076408,-114.6845905,8.4560118,10
-312.142634,-115.9852838,-0.040000502,-307.0262215,-122.698977,-313.0875663,-114.7453552,8.441051688,10
-312.2295166,-116.0715101,-0.040002424,-307.1444497,-122.788513,-313.1803327,-114.8155514,8.424727478,10
-312.3064415,-116.1471251,-0.040001384,-307.2844542,-122.8929426,-313.255973,-114.8716606,8.40989947,10
-312.3970629,-116.2358911,-0.039999645,-307.398589,-122.9775772,-313.354428,-114.944646,8.392560561,10
-312.471609,-116.3083471,-0.039998233,-307.5447618,-123.08413,-313.425702,-114.9962044,8.377652286,10
-312.5658472,-116.3993245,-0.039996997,-307.6592681,-123.1671515,-313.5288689,-115.0709929,8.359306334,10
-312.6395243,-116.4701143,-0.039997751,-307.8049292,-123.270965,-313.598921,-115.1205258,8.344152442,10
-312.7330336,-116.5594733,-0.039998721,-307.9225561,-123.3542524,-313.7007369,-115.1925966,8.325245807,10
-312.8105465,-116.6328394,-0.040000517,-308.0641714,-123.4530051,-313.7763668,-115.2450319,8.309195945,10
